Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
Matteo Salvini,salviniofficial,252306033154,4350206,2020-08-25 06:52:06 EDT,Photo,16530,21226,4479,62,532,4969,413,9211,34,,0,0,0,N/A,https://www.facebook.com/salviniofficial/posts/10158020847493155,"Con tutto il rispetto, ma come può un prete dire: non venite a Messa se siete d'accordo con Musumeci? Vi pare normale? Sono arrivati troppi immigrati, senza regole, senza limiti, bomba sociale e allarme sanitario, visto che il 90% dei nuovi contagi di tutta l'isola purtroppo arriva col barcone. Tutto il mio appoggio al governatore della Sicilia che difende la salute e la sicurezza della sua gente.",https://www.facebook.com/salviniofficial/photos/a.278194028154/10158020835568155/?type=3,,"Scrivo ai miei Parrocchiani, a quanti tra questi oggi gioiscono per l'ordinanza di Musumeci convinti da domani di essersi liberati del problema delle migrazioni. A voi dico: non venite a Messa, state perdendo tempo! Lorenzo Russo Sacerdote di Floridia (SR) ""SIETE CONTRO I MIGRANTI? NON VENITE A MESSA""",,,,,2.15
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 05:18:03 EDT,Link,181,1155,73,2,12,191,9,264,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3547429695299931,"MUSUMECI, IL PARROCO PRO-MIGRANTI AI FEDELI: ""CHI GIOISCE PER L'ORDINANZA, NON VENGA A MESSA""",https://www.liberoquotidiano.it/news/italia/24299164/nello-musumeci-lorenzo-russo-parroco-chi-gioisce-ordinanza-migranti-non-venga-messa.html,,,"Nello Musumeci, il parroco pro-migranti ai fedeli: ""Chi gioisce per l'ordinanza, non venga a Messa""","Un preto contro Nello Musumeci . Proprio così, perché a criticare la decisione del governatore della Sicilia, che ha firmato un&rs...",,,2.77
Lega - Salvini Premier,legasalvinipremier,422703967772535,762257,2020-08-25 04:35:03 EDT,Link,104,72,39,0,1,3,1,25,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3547334371976130,"#MUSUMECI: ""58 POSITIVI AL CORONAVIRUS A LAMPEDUSA"". #SALVINI: ""MASCHERINE A SCUOLA E CLANDESTINI INFETTI""",https://www.liberoquotidiano.it/news/politica/24294544/migranti-coronavirus-musumeci-58-positivi-lampedusa-salvini-pensano-mascherina-scuola-clandestini-infetti.html,,,"Migranti, Musumeci: ""58 positivi al coronavirus a Lampedusa"". Salvini: ""Mascherine a scuola e clandestini infetti""","Il Viminale non sgombera gli hotspot e i centri di accoglienza in Sicilia , e intanto continua l'invasione di migranti e l'emergenza cor...",,,-2.78
Matteo Salvini,salviniofficial,252306033154,4350206,2020-08-25 00:45:27 EDT,Native Video,28340,3078,6743,323,22,70,10,34,126,crosspost,337645,437187,477967,00:00:49,https://www.facebook.com/salviniofficial/posts/10158019117213155,"MUSUMECI: ""SE NON LO FA IL GOVERNO, METTEREMO NOI I SIGILLI IN TUTTI I CENTRI DI ACCOGLIENZA"" #vociitaliane",https://www.facebook.com/salviniofficial/videos/776326086457256/,,,"CHIUSURA HOTSPOT, IL PRESIDENTE MUSUMECI NELLA SUA FERMEZZA",,,,1.64
Lega - Salvini Premier,legasalvinipremier,422703967772535,762017,2020-08-24 17:20:02 EDT,Link,2380,526,188,22,1,20,2,4,3,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3545984585444442,#MUSUMECI (SICILIA): «SE MIA ORDINANZA NON SARÀ ATTUATA VADO DALLA MAGISTRATURA»,https://www.ilmessaggero.it/italia/migranti_sicilia_musumeci_cosa_succede_ora_magistratura_ultime_notizie_oggi-5421498.html,,,"Migranti, Musumeci (Sicilia): «Se mia ordinanza non sarà attuata vado dalla magistratura»",«Aspettiamo la mezzanotte: se i soggetti che sono chiamati a dare attuazione alla mia ordinanza non dovessero farlo a noi rimane solo una strada: rivolgerci alla magistratura. Ci troveremmo di...,,,4.63
Lega - Salvini Premier,legasalvinipremier,422703967772535,762017,2020-08-24 14:32:02 EDT,Link,455,50,13,9,0,3,0,1,1,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3545559355486965,MATTEO #SALVINI PLAUDE ALL'ORDINANZA ANTI-IMMIGRATI DEL GOVERNATORE NELLO #MUSUMECI,https://www.liberoquotidiano.it/news/politica/24283374/matteo-salvini-coronavirus-migranti-sicilia-governo-clandestino-basta.html,,,"Matteo Salvini, il leader leghista plaude all'ordinanza anti-immigrati del governatore della Sicilia, Nello Musumeci","""Massima solidarietà al governatore siciliano Musumeci che ora chiede il trasferimento degli immigrati dalla Sicilia, dopo che perfino i...",,,-1.28
Partito Democratico,partitodemocratico,77034286895,344782,2020-08-24 14:30:00 EDT,Photo,4267,616,982,385,7,9,1,4,79,,0,0,0,N/A,https://www.facebook.com/partitodemocratico/posts/10158059247516896,"Dopo la malsana - e propagandistica - idea di Musumeci, questo prete, Don Lorenzo Russo, parroco a Siracusa, ha lanciato un messaggio bellissimo che vale la pena leggere. ""Scrivo ai miei Parrocchiani, a quanti tra questi oggi gioiscono per l’ordinanza di Musumeci convinti da domani di essersi liberati del problema delle migrazioni, a quanti osannano scelte politiche che non fanno il bene dei poveri di questo mondo ma guardano solo al proprio interesse. A voi dico: non venite a Messa, state perdendo tempo! Non giova a nulla battervi il petto, ascoltare la Parola del Vangelo, nutrirvi dell’Eucarestia. La vostra ipocrisia vi precede. Chiedete coerenza a chi vi circonda, imparate voi ad essere coerenti con la fede che dite di professare. Sennò saremo solo come i “sepolcri imbiancati” di cui parla Gesù: che si lasciano ammirare dalla gente per la loro bellezza esteriore, ma che all’interno custodiscono solo odore di morte. Convertiamoci al Vangelo, fratelli miei! Un giorno dovremo dare conto a Dio di tutto, delle parole come dei silenzi! Sull’amore saremo giudicati!"". Tutto qui, grazie Don Lorenzo. Grazie davvero. Marco Furfaro",https://www.facebook.com/partitodemocratico/photos/a.113463676895/10158059244861896/?type=3,,Un grande uomo Un grande prete,,,,,3.73
Lega - Salvini Premier,legasalvinipremier,422703967772535,762017,2020-08-24 14:29:29 EDT,Photo,1180,4359,625,4,66,1027,35,1310,3,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3545552488820985,"""SIETE CONTRO I MIGRANTI? NON VENITE A MESSA"" ASSURDO!!!",https://www.facebook.com/legasalvinipremier/photos/a.423252457717686/3545551368821097/?type=3,,"Scrivo ai miei Parrocchiani, a quanti tra questi oggi gioiscono per l'ordinanza di Musumeci convinti da domani di essersi liberati del problema delle migrazioni. A voi dico: non venite a Messa, state perdendo tempo! Lorenzo Rasso Sacerdote di Floridia (SR) ""SIETE CONTRO I MIGRANTI? NON VENITE A MESSA'",,,,,7.85
Fratelli d'Italia,FdI.paginaufficiale,355710427861591,280073,2020-08-24 14:16:58 EDT,Native Video,2884,136,607,29,0,11,5,16,9,original,29359,34346,0,00:04:11,https://www.facebook.com/FdI.paginaufficiale/posts/3154040374695235,🔵 Ha fatto bene Musumeci a scuotere il governo nazionale sull'immigrazione. Ascoltate l'intervento dell'On. Carolina Varchi,https://www.facebook.com/FdI.paginaufficiale/videos/2690971234554884/,,,,,,,2.07
Lega - Salvini Premier,legasalvinipremier,422703967772535,762017,2020-08-24 13:23:02 EDT,Link,371,120,54,0,2,7,1,94,0,,0,0,0,N/A,https://www.facebook.com/legasalvinipremier/posts/3545379242171643,LA SICILIA CHIUDE TUTTI GLI HOTSPOT? ONG VUOL PORTARCI ALTRI MIGRANTI,https://www.ilgiornale.it/news/politica/sicilia-chiude-tutti-hotspot-ong-vuol-portarci-altri-1885323.html,,,La Sicilia chiude tutti gli hotspot? Ong vuol portarci altri migranti,Musumeci dice stop all’invasione per difendere l’isola. La Sea Watch carica altri 104 immigrati e fa rotta verso la Sicilia.,,,-1.05
